CountyCode	PrecinctNu	CensusBloc	Split
MRT	9	120850001001000	
MRT	9	120850001001001	
MRT	9	120850001001002	
MRT	9	120850001001003	
MRT	9	120850001001004	
MRT	9	120850001001005	
MRT	9	120850001001006	
MRT	9	120850001001007	
MRT	9	120850001001008	
MRT	9	120850001001009	
MRT	9	120850001001010	
MRT	9	120850001001011	
MRT	9	120850001001012	
MRT	9	120850001001013	
MRT	9	120850001001014	
MRT	9	120850001002000	
MRT	9	120850001002001	
MRT	9	120850001002002	
MRT	9	120850001002003	
MRT	9	120850001002004	
MRT	9	120850001002005	
MRT	9	120850001002006	
MRT	9	120850001002007	
MRT	9	120850001002008	
MRT	9	120850001002009	
MRT	9	120850001002010	
MRT	9	120850001002011	
MRT	9	120850001002012	
MRT	9	120850001002013	
MRT	9	120850001002014	
MRT	9	120850001002015	
MRT	9	120850001002016	
MRT	9	120850001002017	
MRT	9	120850001002018	
MRT	9	120850001002019	
MRT	9	120850001002020	
MRT	9	120850001002021	
MRT	9	120850001002022	
MRT	9	120850001002023	
MRT	9	120850001002024	
MRT	9	120850001002025	
MRT	9	120850001003000	
MRT	9	120850001003001	
MRT	9	120850001003002	
MRT	9	120850001003003	
MRT	9	120850001003004	
MRT	9	120850001003005	
MRT	9	120850001003006	
MRT	9	120850001003007	
MRT	9	120850001003008	
MRT	9	120850001003009	
MRT	9	120850001003010	
MRT	1	120850002001000	
MRT	1	120850002001001	
MRT	1	120850002001002	
MRT	1	120850002001003	
MRT	1	120850002001004	
MRT	1	120850002001005	
MRT	1	120850002001006	
MRT	1	120850002001007	
MRT	1	120850002001008	
MRT	1	120850002001009	
MRT	1	120850002001010	
MRT	1	120850002001011	
MRT	1	120850002001012	
MRT	1	120850002001013	
MRT	1	120850002001014	
MRT	1	120850002001015	
MRT	1	120850002001016	
MRT	1	120850002001017	
MRT	1	120850002002000	
MRT	1	120850002002001	
MRT	1	120850002002002	
MRT	1	120850002002003	
MRT	1	120850002002004	
MRT	1	120850002002005	
MRT	1	120850002002006	
MRT	1	120850002002007	
MRT	1	120850002002008	
MRT	1	120850002002009	
MRT	1	120850002002010	
MRT	1	120850002002011	
MRT	1	120850002002012	
MRT	1	120850002002013	
MRT	1	120850002002014	
MRT	1	120850002002015	
MRT	1	120850002002016	
MRT	1	120850002002017	
MRT	1	120850002002018	
MRT	1	120850002002019	
MRT	1	120850002002020	
MRT	1	120850002002021	
MRT	1	120850002002022	
MRT	1	120850002002023	
MRT	1	120850002002024	
MRT	1	120850002002025	
MRT	1	120850002002026	
MRT	1	120850002002027	
MRT	1	120850002002028	
MRT	1	120850002002029	
MRT	1	120850002002030	
MRT	1	120850002002031	
MRT	1	120850002002032	
MRT	1	120850002002033	
MRT	1	120850002002034	
MRT	1	120850002002035	
MRT	1	120850002002036	
MRT	1	120850002002037	
MRT	1	120850002002038	
MRT	2	120850003001000	
MRT	2	120850003001001	
MRT	2	120850003001002	
MRT	2	120850003001003	
MRT	2	120850003001004	
MRT	2	120850003001005	
MRT	2	120850003001006	
MRT	2	120850003001007	
MRT	2	120850003001008	
MRT	2	120850003001009	
MRT	2	120850003001010	
MRT	2	120850003001011	
MRT	2	120850003001012	
MRT	2	120850003001013	
MRT	2	120850003001014	
MRT	2	120850003001015	
MRT	2	120850003001016	
MRT	2	120850003001017	
MRT	2	120850003001018	
MRT	2	120850003001019	
MRT	2	120850003001020	
MRT	2	120850003001021	
MRT	2	120850003001022	
MRT	2	120850003001023	
MRT	2	120850003001024	
MRT	2	120850003001025	
MRT	2	120850003001026	
MRT	2	120850003001027	
MRT	2	120850003001028	
MRT	2	120850003001029	
MRT	2	120850003001030	
MRT	2	120850003001031	
MRT	2	120850003001032	
MRT	2	120850003001033	
MRT	2	120850003001034	
MRT	2	120850003001035	
MRT	2	120850003001036	
MRT	2	120850003001037	
MRT	2	120850003001038	
MRT	2	120850003002000	
MRT	2	120850003002001	
MRT	2	120850003002002	
MRT	2	120850003002003	
MRT	2	120850003002004	
MRT	2	120850003002005	
MRT	2	120850003002006	
MRT	2	120850003002007	
MRT	2	120850003002008	
MRT	2	120850003002009	
MRT	2	120850003002010	
MRT	2	120850003002011	
MRT	2	120850003002012	
MRT	2	120850003003000	
MRT	2	120850003003001	
MRT	2	120850003003002	
MRT	2	120850003003003	
MRT	2	120850003003004	
MRT	2	120850003003005	
MRT	2	120850003003006	
MRT	2	120850003003007	
MRT	2	120850003003008	
MRT	2	120850003003009	
MRT	2	120850003003010	
MRT	2	120850003003011	
MRT	2	120850003003012	
MRT	2	120850003003013	
MRT	2	120850003003014	
MRT	2	120850003003015	
MRT	2	120850003003016	
MRT	2	120850003003017	
