County,Muni,ReportingUnit,PollingPlaceName,PollingPlaceAddress,Phone,VotimgRoomArea,TypeOfBuilding,Longitude,Latitude,ElectionName
BAYFIELD COUNTY,TOWN OF RUSSELL,Ward 1-2,Town of Russell Garage,"35900 STATE HIGHWAY 13, BAYFIELD, WI 54814-4886",7157795338,,Government,-90.824946,46.873048,2016 General Election
BAYFIELD COUNTY,TOWN OF BELL,Ward 1,BELL COMMUNITY CENTER,"22615 COUNTY HIGHWAY C, CORNUCOPIA, WI 54827",7157423356,,Private,-91.1015899479,46.8537075073,2016 General Election
BAYFIELD COUNTY,TOWN OF CLOVER,Ward 1,CLOVER TOWN HALL,"86780 LENAWEE RD, HERBSTER, WI 54844",7157743780,,Government,-91.2631957233,46.8295890838,2016 General Election
BAYFIELD COUNTY,TOWN OF BAYFIELD,Ward 1,BAYFIELD TOWN HALL,"85450 COUNTY HIGHWAY J, BAYFIELD, WI 54814-4455",7157795671,,Government,-90.862181,46.809718,2016 General Election
BAYFIELD COUNTY,CITY OF BAYFIELD,Ward 1-4,BAYFIELD CITY HALL,"125 S 1ST ST, BAYFIELD, WI 54814",7157795712,,Government,-90.8146351576,46.8093263358,2016 General Election
ASHLAND COUNTY,TOWN OF LA POINTE,Ward 1,LA POINTE EMERGENCY SERVICES BUILDING,"320 BIG BAY RD, LAPOINTE, WI 54850",7157476913,,Government,-90.7891595364,46.7808654159,2016 General Election
BAYFIELD COUNTY,TOWN OF PORT WING,Ward 1,PORT WING TOWN HALL,"83030 GRAND AVE, PORT WING, WI 54865",7157443624,,Private,-91.3860704005,46.7756518722,2016 General Election
DOUGLAS COUNTY,CITY OF SUPERIOR,"Wards 17-19,30-32",SALVATION ARMY,"916 HUGHITT AVE, SUPERIOR, WI 54880-1636",7153957200,,,-92.099004,46.727242,2016 General Election
DOUGLAS COUNTY,CITY OF SUPERIOR,Wards 23-29,BILLINGS PARK CIVIC CENTER,"3903 N 18TH ST, SUPERIOR, WI 54880",3959311,,Government,-92.1333076805,46.7171300948,2016 General Election
DOUGLAS COUNTY,CITY OF SUPERIOR,"Wards 13-16,20-22",WITC CONF CENTER," MERTZ MORTORELLI DR, SUPERIOR, WI",7153957200,,School,-92.085196,46.713689,2016 General Election
